LOCAL 2024-02-11 17:08:16 INFO  Worker:59 - Received task: 8daed91bb49edad2::0::RGMH5ROASTBS8::Well-made children's book that an child will love.::sentimentAnalysis for localAppId 8daed91bb49edad2 for inputIndex 0
LOCAL 2024-02-11 17:08:16 INFO  Worker:68 - Sentiment analysis result: 3
LOCAL 2024-02-11 17:08:16 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-11 17:08:16 INFO  SQSHandler:95 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-11 17:08:16 INFO  Worker:59 - Received task: 8daed91bb49edad2::0::R1RUXYHCSZSHJ0::Cute lift-the-flap book. My 9 month old loves it!::sentimentAnalysis for localAppId 8daed91bb49edad2 for inputIndex 0
LOCAL 2024-02-11 17:08:16 INFO  Worker:68 - Sentiment analysis result: 2
LOCAL 2024-02-11 17:08:16 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-11 17:08:16 INFO  SQSHandler:95 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-11 17:08:16 INFO  Worker:59 - Received task: 8daed91bb49edad2::0::R3R9QKZ61DMKGF::This gift was liked by the child and parents.::sentimentAnalysis for localAppId 8daed91bb49edad2 for inputIndex 0
LOCAL 2024-02-11 17:08:16 INFO  Worker:68 - Sentiment analysis result: 3
LOCAL 2024-02-11 17:08:16 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-11 17:08:17 INFO  SQSHandler:95 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-11 17:08:17 INFO  Worker:59 - Received task: 8daed91bb49edad2::1::R1CKE9Q64Z7CZC::So freaking good::entityRecognition for localAppId 8daed91bb49edad2 for inputIndex 1
LOCAL 2024-02-11 17:08:17 INFO  Worker:75 - Named entity recognition result: 
LOCAL 2024-02-11 17:08:17 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-11 17:08:17 INFO  SQSHandler:95 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-11 17:08:17 INFO  Worker:59 - Received task: 8daed91bb49edad2::1::R25Z5IPKQQBRQN::I love these Gummy Bears! They cause no issues with my stomach as they may for some, actually nor do the sugarless ones.. I must have a stomach that is built of industrial materials.::sentimentAnalysis for localAppId 8daed91bb49edad2 for inputIndex 1
LOCAL 2024-02-11 17:08:17 INFO  Worker:68 - Sentiment analysis result: 1
LOCAL 2024-02-11 17:08:17 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-11 17:08:17 INFO  SQSHandler:95 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-11 17:08:17 INFO  Worker:59 - Received task: 8daed91bb49edad2::1::R1JDXB8Y4TO3MT::These are always a yummy treat. :)::sentimentAnalysis for localAppId 8daed91bb49edad2 for inputIndex 1
LOCAL 2024-02-11 17:08:17 INFO  Worker:68 - Sentiment analysis result: 3
LOCAL 2024-02-11 17:08:18 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-11 17:08:18 INFO  SQSHandler:95 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-11 17:08:18 INFO  Worker:59 - Received task: 8daed91bb49edad2::1::R1266STJW192AU::My sister was the hit of the hospital staff. I truly think she got better care because of the gummis.::entityRecognition for localAppId 8daed91bb49edad2 for inputIndex 1
LOCAL 2024-02-11 17:08:18 INFO  Worker:75 - Named entity recognition result: 
LOCAL 2024-02-11 17:08:18 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-11 17:08:18 INFO  SQSHandler:95 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-11 17:08:18 INFO  Worker:59 - Received task: 8daed91bb49edad2::1::R82DFHHKNJGR0::Great chewy::entityRecognition for localAppId 8daed91bb49edad2 for inputIndex 1
LOCAL 2024-02-11 17:08:18 INFO  Worker:75 - Named entity recognition result: 
LOCAL 2024-02-11 17:08:19 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-11 17:08:19 INFO  SQSHandler:95 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-11 17:08:19 INFO  Worker:25 - Polling tasks from managerToWorkerQueue
LOCAL 2024-02-11 17:08:19 INFO  SQSHandler:77 - Polling messages from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-11 17:08:19 INFO  Worker:59 - Received task: 8daed91bb49edad2::0::R3DHV2T9Q991V7::Very cute!::sentimentAnalysis for localAppId 8daed91bb49edad2 for inputIndex 0
LOCAL 2024-02-11 17:08:19 INFO  Worker:68 - Sentiment analysis result: 4
LOCAL 2024-02-11 17:08:19 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-11 17:08:20 INFO  SQSHandler:95 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-11 17:08:20 INFO  Worker:59 - Received task: 8daed91bb49edad2::0::RGMH5ROASTBS8::Well-made children's book that an child will love.::entityRecognition for localAppId 8daed91bb49edad2 for inputIndex 0
LOCAL 2024-02-11 17:08:20 INFO  Worker:75 - Named entity recognition result: 
LOCAL 2024-02-11 17:08:20 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-11 17:08:20 INFO  SQSHandler:95 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-11 17:08:20 INFO  Worker:59 - Received task: 8daed91bb49edad2::0::R1RUXYHCSZSHJ0::Cute lift-the-flap book. My 9 month old loves it!::entityRecognition for localAppId 8daed91bb49edad2 for inputIndex 0
LOCAL 2024-02-11 17:08:20 INFO  Worker:75 - Named entity recognition result: 
LOCAL 2024-02-11 17:08:20 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-11 17:08:20 INFO  SQSHandler:95 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-11 17:08:20 INFO  Worker:59 - Received task: 8daed91bb49edad2::0::R3GCFAIUL8BI3Y::This book is adorable. My toddler loves it.::entityRecognition for localAppId 8daed91bb49edad2 for inputIndex 0
LOCAL 2024-02-11 17:08:20 INFO  Worker:75 - Named entity recognition result: 
LOCAL 2024-02-11 17:08:21 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-11 17:08:21 INFO  SQSHandler:95 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-11 17:08:21 INFO  Worker:59 - Received task: 8daed91bb49edad2::0::RW6ORU2M3C461::I bought this book for a newborn. She loved when our parents read to her as an infant. She's now almost two and loves playing with it herself. I got it based on the positive reviews. I'm so glad I did. Will buy it again and highly recommend::entityRecognition for localAppId 8daed91bb49edad2 for inputIndex 0
LOCAL 2024-02-11 17:08:21 INFO  Worker:75 - Named entity recognition result: 
LOCAL 2024-02-11 17:08:21 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-11 17:08:21 INFO  SQSHandler:95 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
